Query,Parameter,Codigestion,TS,VS,VS_TS,SCOD,CN,N_NH4,Carbs,Protein,Lipid,ISR,CoSR,WorkVol,Temp,pH,HTR,OLR,VFAs
3,2012_He et al.,No,182.8,160,87.48,5692.1845,63.62,1237.3816,15961.5,4965.8,8551.817,33,0,2,35,3.7,9,3.7,18000
4,2012_He et al.,No,182.8,160,87.48,5910.0927,63.62,1103.865,15961.5,4965.8,8551.817,33,0,2,55,4.15,9,4.15,16000
5,2012_He et al.,No,182.8,160,87.48,6013.3957,63.62,1105.1409,15961.5,4965.8,8551.817,33,0,2,70,4.45,9,4.45,14000
6,2012_Nagao et al.,No,38.1,35.17,92.3,3000,14.06,667.903,10203.7384,5173.0708,3993.6465,1.67,0,3,37,3.77,8,3.77,8149
7,2012_Nagao et al.,No,38.1,35.17,92.3,3000,14.06,560.7078,7850.3756,3948.3882,2348.7345,1.67,0,3,37,6.46,16,6.46,19210
8,2012_Xu et al.,No,83.7,81.27,97.1,16912.6476,22.2433,744.6967,32560.0626,12801.9848,7692.4131,15.1613,0,4.6,35,4.4,17,4.4,6800
9,2012_Xu et al.,No,83.7,81.27,97.1,19371.3779,20.5762,401.4786,32247.4165,11321.2903,9124.7794,5,0,4.6,35,4.85,17,4.85,10370
10,2012_Xu et al.,No,83.7,81.27,97.1,20638.2424,20.8325,565.1645,31673.3955,12070.9746,8003.574,20,0,4.6,35,4.85,17,4.85,10370
11,2012_Xu et al.,No,83.7,81.27,97.1,21692.7762,18.2107,425.5169,26995.9569,11893.319,7964.0503,80,0,4.6,35,4.85,17,4.85,11800
15,2013_Jiang et al.,No,205.3,199.5,97.17,86920,13.45,650,30248.4021,11712.1967,6481.1829,21.05,0,4.5,35,3,8,3,13940
16,2013_Jiang et al.,No,205.3,199.5,97.17,58293.7245,13.45,650,43019.5158,12175.396,12303.5093,21.05,0,4.5,35,5,8,5,17080
17,2013_Jiang et al.,No,205.3,199.5,97.17,86920,13.45,2140,46786.7338,13088.6752,13893.6493,21.05,0,4.5,35,6,8,6,39460
18,2013_Jiang et al.,No,205.3,199.5,97.17,71409.1443,13.45,2140,41977.1052,13014.8958,12796.0704,21.05,0,4.5,35,7,8,7,37090
19,2013_Jiang et al.,No,205.3,199.5,97.17,86920,13.45,2208,36982.7629,12087.7119,12170.1543,21.05,0,4.5,45,6,8,6,47890
20,2013_Jiang et al.,No,205.3,199.5,97.17,39581.883,13.45,815,33815.3708,10943.6103,11087.1323,21.05,0,4.5,55,6,8,6,14900
21,2013_Jiang et al.,No,205.3,199.5,97.17,22370,13.45,468.6,44927.1655,12064.1073,12240.5346,21.05,0,4.5,35,6,5,6,13270
22,2013_Jiang et al.,No,205.3,199.5,97.17,34220,13.45,750.8,46636.5185,12986.6226,12678.4617,21.05,0,4.5,35,6,5,6,21440
23,2013_Jiang et al.,No,205.3,199.5,97.17,56620,13.45,841.67,48685.9527,13151.619,13351.8292,21.05,0,4.5,35,6,5,6,24930
24,2013_Jiang et al.,No,205.3,199.5,97.17,45270,13.45,423.5,44307.2574,12006.215,12494.5919,21.05,0,4.5,35,6,5,6,12980
25,2014_Bo et al.,No,100,95,95,22573.2189,24.04,869.1086,70000,13000,10000,15.2414,0,2,35,6.98,5,6.98,3700
26,2014_Bo et al.,No,100,95,95,22415.0926,24.04,902.4416,70000,13000,10000,16.0544,0,2,35,6.69,5,6.69,5200
27,2014_Bo et al.,No,100,95,95,23565.7074,24.04,748.832,70000,13000,10000,14.6376,0,2,35,6.22,5,6.22,8400
28,2014_Bo et al.,No,100,95,95,26083.7173,24.04,656.9188,70000,13000,10000,13.9268,0,2,35,4.98,5,4.98,10300
29,2014_Bo et al.,No,100,95,95,26514.4845,24.04,644.5508,70000,13000,10000,14.2639,0,2,35,5.05,5,5.05,12100
30,2014_Bo et al.,No,100,95,95,26353.9712,24.04,646.7133,70000,13000,10000,14.3776,0,2,35,5.01,5,5.01,11600
31,2014_Browne et al.,No,10.24,9.34,91.2,5151,14.4,397,3552,3030,273.5,46.2,0,32.5,37,8.06,30,8.06,2439
32,2014_Browne et al.,No,10.24,9.34,91.2,5151,14.4,397,3552,3030,273.5,46.2,0,32.5,37,8.06,24,8.06,4289
33,2014_Browne et al.,No,10.24,9.34,91.2,7088,14.4,610,3552,3030,273.5,46.2,0,32.5,37,8.13,24,8.13,6302
34,2014_Browne et al.,No,10.24,9.34,91.2,10093,14.4,697,3552,3030,273.5,46.2,0,32.5,37,8.15,18,8.15,6302
35,2014_Wang et al.,No,240,230.88,96.2,25200,22,1725,94800,26400,26301.6869,20,0,0.5,30,4,20,4,8070
36,2014_Wang et al.,No,240,230.88,96.2,25200,22,1725,94800,26400,28037.5375,20,0,0.5,30,5,20,5,30100
37,2014_Wang et al.,No,240,230.88,96.2,25200,22,2031,94800,26400,28470.586,20,0,0.5,30,6,20,6,30800
38,2014_Wang et al.,No,240,230.88,96.2,25200,22,2031,94800,26400,26324.9675,20,0,0.5,30,4,20,4,9960
39,2014_Wang et al.,No,240,230.88,96.2,25200,22,1419,94800,26400,26174.1447,20,0,0.5,30,4,20,4,2910
40,2014_Wang et al.,No,240,230.88,96.2,25200,22,1419,94800,26400,28114.5259,20,0,0.5,30,5,20,5,34600
41,2014_Wang et al.,No,240,230.88,96.2,25200,22,4080,94800,26400,28191.9487,20,0,0.5,30,6,20,6,51300
42,2014_Wang et al.,No,240,230.88,96.2,25200,22,2061,94800,26400,26392.7017,20,0,0.5,30,4,20,4,8800
48,2015_Dahiya et al.,No,15,14.07,93.8,2112.3098,17.3039,1484.1365,10878.9078,4075.431,4487.1148,10,0,0.4,28,5,2,5,4200
49,2015_Dahiya et al.,No,15,14.07,93.8,1937.1601,15.2533,1449.24,10750.5796,3382.0239,4814.6786,10,0,0.4,28,6,2,6,4500
50,2015_Dahiya et al.,No,15,14.07,93.8,2253.1454,16.0063,1259.3107,9812.7628,3597.669,4128.8204,10,0,0.4,28,7,2,7,4100
51,2015_Dahiya et al.,No,15,14.07,93.8,2305.6176,14.5555,1316.6464,9647.0845,3722.4988,3996.7917,10,0,0.4,28,8,2,8,3800
52,2015_Dahiya et al.,No,15,14.07,93.8,2376.727,14.1302,1414.5936,8406.9211,3824.3791,3742.1026,10,0,0.4,28,9,2,9,5170
53,2015_Dahiya et al.,No,15,14.07,93.8,2408.7096,14.0452,1491.7316,6375.1834,3752.9217,3150.6545,10,0,0.4,28,10,2,10,6300
54,2015_Dahiya et al.,No,15,14.07,93.8,2309.7687,14.308,1403.1947,6497.5535,3728.2789,3090.401,10,0,0.4,28,11,2,11,3500
57,2015_Wang et al.,No,40,38.87,97.18,11149.0063,32.8,860,17967.1915,7547.5993,8600.0076,20,0,4,35,6,5.9899,6,17400
58,2015_Wang et al.,No,70,68.02,97.17,2000,35.1,1398.5,28583.7676,9775.8097,5553.9394,20,0,4,35,6,9.1614,6,26453
59,2015_Wang et al.,No,100,97.17,97.17,1800,48.8,1725.8,40292.1547,12766.8305,6134.1179,20,0,4,35,6,10.2226,6,39720
60,2015_Wang et al.,No,130,126.33,97.18,1980,51.5,1850.5,36647.3014,13547.4127,6906.087,20,0,4,35,6,10.0714,6,41760
61,2015_Wu et al.,No,100,87,87,79300,22.8901,700,33304.344,11305.6907,8567.8868,10,0,1.5,35,4,3,4,17200
62,2015_Wu et al.,No,100,87,87,79300,22.5032,700,36643.5861,11504.6484,10137.5585,10,0,1.5,35,5,3,5,15000
63,2016_Karthikeyan et al.,No,213.514,207.32,97.1,20000,20.2693,1044.3964,42354.6827,14062.1288,13622.2319,14.29,0,3.7,37,6,15,6,23000
64,2016_Karthikeyan et al.,No,213.514,207.32,97.1,20001,19.3765,1391.0843,37340.2841,15786.0294,12437.8459,14.29,0,3.7,37,9,15,9,25000
65,2016_Karthikeyan et al.,No,213.514,207.32,97.1,20000,20.2659,1014.6398,42350.3896,13891.4122,13868.7875,14.29,0,3.7,37,6,15,6,22000
66,2016_Karthikeyan et al.,No,213.514,207.32,97.1,20001,19.227,1437.7399,38105.3534,15936.7791,12839.7648,14.29,0,3.7,37,9,15,9,28000
83,2016_Yu et al.,No,22,19.8,90.1,1755.7975,13.0494,1306.4127,12850.2626,2356.2,4910.4,20,0,0.4,30,6,13,6,29400
84,2016_Yu et al.,No,22,21.12,96.3,2157.8259,14.4722,1455.7562,13049.4098,2513.28,4794.24,20,0,0.4,30,6,15,6,32900
85,2016_Yu et al.,No,22,20.9,94.8,1897.3137,12.9849,1486.069,12342.9494,2487.1,4180,20,0,0.4,30,6,15,6,35500
86,2017_Gottardo et al.,No,53,44,83.02,15177.1953,41,687,5391.6197,2049.9894,58.9656,5,0,200,55,5.3,3.3,5.3,19776
87,2017_Gottardo et al.,No,53,44,83.02,14723.9829,41,687,5347.0398,2079.3421,57.2925,5,0,200,55,5.5,3.3,5.5,13047
88,2017_Gottardo et al.,No,53,44,83.02,14799.4322,41,687,5304.1944,1942.2994,57.3323,5,0,200,55,5.7,3.3,5.7,10282
89,2017_Hussain et al.,No,164.3,131.4,79.96,39000,19.8991,100,14269.1734,7772.6786,6783.6998,4,0,3.5,50,4.3,6.9152,4.3,6000
90,2017_Hussain et al.,No,164.3,131.4,79.96,64000,18.517,101,16789.1969,8646.5984,9612.7216,4,0,3.5,50,5.2,6.1789,5.2,7500
91,2017_Hussain et al.,No,164.3,131.4,79.96,74000,18.483,102,18836.3021,8325.3056,9588.6948,4,0,3.5,50,6.1,6.1667,6.1,24000
92,2017_Hussain et al.,No,164.3,131.4,79.96,82000,18.7177,103,18537.3968,8670.4602,10164.9077,4,0,3.5,50,7.2,6.2442,7.2,36500
93,2017_Hussain et al.,No,164.3,131.4,79.96,83000,18.5379,104,18578.2623,8832.9765,9870.4877,4,0,3.5,50,7.2,6.2564,7.2,49000
94,2018_Yu et al.,No,73.077,69.423,95,31700,5.3,792,12672.4841,9900,8102.8983,20,0,0.5,30,6,16,6,15230
95,2018_Yu et al.,No,73.077,69.423,95,51000,5.3,174,1300,31600,6501.0053,20,0,0.5,30,6,15,6,11450
96,2018_Yu et al.,No,71.538,66.53,93,41500,8.6,166.5,1300,31600,6721.847,20,0,0.5,30,6,15,6,16110
97,2018_Yu et al.,No,73.077,69.423,95,31700,5.3,792,2100,36200,7908.3409,20,0,0.5,30,6,21,6,27600
98,2018_Yu et al.,No,73.077,69.423,95,51000,5.3,174,2100,36200,7932.2182,20,0,0.5,30,6,11,6,13800
99,2019_Cao et al.,No,62.6,59.3,94.73,8778,24.0539,1004.3086,33200,14700,6515,10.83,0,0.3,37,3.45,10,3.45,1256
102,2019_Cheah et al.,No,66,51.5,78,72390,12.0169,257,15553.5792,13016.3445,11251.1205,50,0,0.15,35,6,3.5,6,10120
103,2019_Cheah et al.,No,56.3,41.8,74.2,72750,8.7807,284,11789.1225,13033.7457,10935.584,50,0,0.15,35,6,3.5,6,8610
104,2019_Cheah et al.,No,64.1,48.7,76,57500,9.8518,231,14223.7234,13789.3559,11267.0121,50,0,0.15,35,6,3.5,6,9620
105,2019_Cheah et al.,No,98.3,90,91.6,92720,20.8832,289,37618.2438,17193.7456,12934.99,50,0,0.15,35,10,3.5,10,11110
106,2019_Cheah et al.,No,90,80,88.9,83480,20.5218,232,27739.941,16171.1804,11950.9956,50,0,0.15,35,10,3.5,10,9710
107,2019_Cheah et al.,No,106,90,84.9,93480,19.2017,161,29790.0643,16120.1074,12237.0046,50,0,0.15,35,10,3.5,10,11090
108,2019_Cheah et al.,No,43,41,95.3,15800,20.99,473,19113.6265,11262.2327,9373.7215,50,0,0.15,35,4.8,3.5,4.8,10120
109,2019_Cheah et al.,No,59,56,94.9,32400,19.8747,1075,24550.7671,12872.1187,7696.8387,50,0,0.15,35,4.4,3.5,4.4,8610
110,2019_Cheah et al.,No,43,41,95.3,36700,19.9561,652,20763.496,11933.381,8544.9895,50,0,0.15,35,4.2,3.5,4.2,9620
111,2019_Cheah et al.,No,50,41,82,23600,17.5307,440,16455.3195,12026.3869,8865.3571,50,0,0.15,35,4.2,3.5,4.2,11110
112,2019_Cheah et al.,No,56,52,92.9,40100,19.8094,618,21406.9286,12997.594,9280.2141,50,0,0.15,35,5.7,3.5,5.7,9710
113,2019_Cheah et al.,No,73,61,83.6,37000,18.8727,517,22144.5412,12972.7884,9829.1438,50,0,0.15,35,5.8,3.5,5.8,11090
114,2019_Cheah et al.,No,73,57,78.1,38700,13.2601,670,18916.4524,11478.0763,9795.817,50,0,0.15,35,6.6,3.5,6.6,10120
115,2019_Cheah et al.,No,66,55,83.3,32300,18.8171,390,19902.3615,12294.7897,9131.49,50,0,0.15,35,6.5,3.5,6.5,8610
116,2019_He et al.,No,70,68.95,98.5,24894.6211,11.4255,940,44590,6370,6370,20,0,0.5,30,6,13.877,6,26610
117,2019_He et al.,No,70,68.95,98.5,33182.672,9.2627,146.9,44590,6370,6370,20,0,0.5,30,6,13.2708,6,30360
118,2019_He et al.,No,70,68.95,98.5,32365.1524,9.2432,111,44590,6370,6370,20,0,0.5,30,6,13.415,6,26930
119,2019_He et al.,No,70,68.95,98.5,27213.1087,10.7416,599,44590,6370,6370,20,0,0.5,30,6,13.2915,6,26190
120,2019_He et al.,No,70,68.95,98.5,30361.8549,9.6402,379,44590,6370,6370,20,0,0.5,30,6,13.456,6,24650
121,2019_Jin et al.,No,263,251,95.4,49275,20.17,2004.5878,128607,41817,39685.5,28.58,0,0.5,37,5.5,3,5.5,58307.5
122,2019_Jin et al.,No,263,251,95.4,49275,20.17,2348.1725,128607,41817,39685.5,28.58,0,0.5,37,6.5,3,6.5,67217.8
123,2019_Jin et al.,No,263,251,95.4,49275,20.17,1882.763,128607,41817,39685.5,28.58,0,0.5,37,6,3,6,24773.7
124,2019_Xiong et al.,No,165,155,94,33000,14.3739,308.8099,32204.1503,10407.1394,10171.7499,2.71,0,3.5,22,6,9.6963,6,24300
125,2019_Xiong et al.,No,165,155,94,33000,17.6757,349.3542,33279.7736,11676.8838,10590.4821,2.71,0,3.5,22,7,9.834,7,28600
126,2019_Xiong et al.,No,165,155,94,35000,16.0116,391.4286,32580.1869,11572.9606,10139.321,2.71,0,3.5,22,8,9.4559,8,27200
132,2020_Lukitawesa et al.,No,178,170.5,95.8,95000,15.6,5670,5012.48,1516.56,234.96,50,0,1.5,37,4,14,4,3480
133,2020_Lukitawesa et al.,No,178,170.5,95.8,95000,15.6,5670,5012.48,1516.56,234.96,50,0,1.5,37,5,14,5,3960
134,2020_Lukitawesa et al.,No,178,170.5,95.8,95000,15.6,5670,5012.48,1516.56,234.96,50,0,1.5,37,6,14,6,3890
135,2020_Lukitawesa et al.,No,178,170.5,95.8,95000,15.6,5670,5012.48,1516.56,234.96,20,0,1.5,37,4,14,4,1500
136,2020_Lukitawesa et al.,No,178,170.5,95.8,95000,15.6,5670,5012.48,1516.56,234.96,20,0,1.5,37,5,14,5,3960
137,2020_Lukitawesa et al.,No,178,170.5,95.8,95000,15.6,5670,5012.48,1516.56,234.96,20,0,1.5,37,6,14,6,5520
138,2020_Micolucci et al.,No,48.8,43.2,89,8040,20,395.0011,2848.5694,2162.8938,73.4961,0,0,200,55,5.2,3.3,5.2,14720
139,2020_Micolucci et al.,No,42.6,39.8,93,4680,20,410.5296,2722.9377,1466.3414,49.9781,0,0,200,55,5.2,3.3,5.2,13500
140,2020_Micolucci et al.,No,42.6,39.8,93,4836.8147,20,405.2962,2671.0488,1474.1147,46.6345,0,0,200,55,5,3.3,5,13080
141,2020_Shewa et al.,No,28.5,19,67,2100,4.6818,684.1307,7171.9599,8258.9267,3074.6133,4,0,8,22,7,6,7,17000
142,2020_Shewa et al.,No,21,17.8,85,2200,14.8106,672.7958,7959.8748,4217.1226,3048.4909,4,0,8,22,7,6,7,20080
143,2020_Shewa et al.,No,15.2,13.6,89,1900,15.1758,610.9987,4901.2679,3938.6588,2331.5627,4,0,8,22,7,6,7,14190
144,2020_Shewa et al.,No,14.15,12.33,87,3150,14.9312,595.9434,4934.297,4092.7331,2450.2425,4,0,8,22,7,6,7,19240
160,2020_Zhang et al.,No,157,142,90,8828,25,755.8179,69080,3140,11268.6773,10,0,4.5,37,5.6,6.25,5.6,10894.91
161,2020_Zhang et al.,No,117.8,110.1,93,9577,20,775.4849,41230,1178,7432.5721,10,0,4.5,37,5.8,6.25,5.8,10894.91
162,2020_Zhang et al.,No,65.1,51.8,79,8886,12,689.611,11718,976.5,4692.2337,10,0,4.5,37,5.6,6.25,5.6,12208.24
163,2020_Zhang et al.,No,41.4,33.6,81,12794,14,785.858,3312,496.8,1070.1526,10,0,4.5,37,4.8,6.25,4.8,6400
173,2021_Luo et al.,No,102.6,93.8,91.32,35175,29,851.0737,66500,12200,1200,12.2,0,0.6,35,3.1,8,3.1,1925
175,2021_Pau et al.,No,34.86,33.48,96.08,5330,18.7804,7900,2270,400,398.957,25,0,0.2,37,6.1,15.9947,6.1,3648.5
176,2021_Pau et al.,No,34.86,33.48,96.08,5330,18.9076,7900,2270,400,370.8418,25,0,0.2,37,5.9,16.0154,5.9,4133.6
177,2021_Pau et al.,No,34.86,33.48,96.08,5330,18.5747,7900,2270,400,398.957,25,0,0.2,37,6.1,16.0406,6.1,3333.5
178,2021_Pau et al.,No,34.86,33.48,96.08,5330,18.0669,7900,2270,400,373.7135,25.6853,0,0.2,37,6.2,16.3896,6.2,2065.4
179,2021_Pau et al.,No,34.86,33.48,96.08,5330,19.5551,7900,2270,400,300.9306,25,0,0.2,37,4.2,17.7085,4.2,3403.1
180,2021_Pau et al.,No,34.86,33.48,96.08,5330,18.6098,7900,2270,400,301.6812,25,0,0.2,37,4.8,16.8684,4.8,3148.8
181,2021_Pau et al.,No,34.86,33.48,96.08,5330,19.6678,7900,2270,400,300.9306,25,0,0.2,37,4.5,17.669,4.5,3024.8
182,2021_Pau et al.,No,34.86,33.48,96.08,5330,19.671,7900,2270,400,295.299,25,0,0.2,37,4.1,17.8046,4.1,3899.7
183,2021_Pau et al.,No,34.86,33.48,96.08,5330,19.521,7900,2270,400,300.9306,25,0,0.2,37,4.4,17.7553,4.4,3208.5
184,2021_Pau et al.,No,34.86,33.48,96.08,5330,19.1306,7900,2270,400,300.9306,25,0,0.2,37,3.8,17.7579,3.8,1352.4
191,2021_Strazzera et al.,No,417.86,348.35,83.37,18200,29,800,21100,23900,15600,12.5,0,0.5,37,7,8.3369,7,13770
192,2021_Strazzera et al.,No,417.86,348.35,83.37,16000,29,800,21100,23900,15600,12.5,0,0.5,37,5.5,8.0054,5.5,12000
193,2021_Strazzera et al.,No,417.86,348.35,83.37,12400,29,800,21100,23900,15600,12.5,0,0.5,37,5.5,7.9399,5.5,10000
194,2021_Strazzera et al.,No,634.93,555.62,87.51,13840,29,1000,23634.3434,22265.232,15135.5959,12.5,0,0.5,37,7,8.4052,7,12770
195,2021_Strazzera et al.,No,634.93,555.62,87.51,11010,29,1000,23759.2065,22009.6045,14755.5633,12.5,0,0.5,37,5.5,8.0972,5.5,10380
196,2021_Strazzera et al.,No,134.03,123.1,91.85,2310,29,1200,31974.1079,15503.0152,6919.9711,12.5,0,0.5,37,7,9.0257,7,900
197,2021_Strazzera et al.,No,134.03,123.1,91.85,8240,29,1200,36660.88,16271.6396,9963.8652,12.5,0,0.5,37,5.5,9.4739,5.5,6510
198,2021_Strazzera et al.,No,134.03,123.1,91.85,2310,29,1200,20598.6281,11783.7838,4628.7208,12.5,0,0.5,37,3.5,10.5944,3.5,1740
199,2021_Strazzera et al.,No,290.51,253.78,87.36,10570,29,5000,5355,6065,3959,12.5,0,0.5,37,7,8.0516,7,8020
200,2021_Strazzera et al.,No,290.51,253.78,87.36,7310,29,5000,5355,6065,3959,12.5,0,0.5,37,5.5,8.7312,5.5,4500
201,2021_Strazzera et al.,No,290.51,253.78,87.36,3900,29,5000,5355,6065,3959,12.5,0,0.5,37,4.4,8.7491,4.4,2640
202,2021_Yu et al.,No,41.25,33.9,82.16,22466,26.2423,326.7,3749.8,972.1,21.5,4.1613,0,100,50,3.4,7,3.4,8419
203,2021_Yu et al.,No,41.25,33.9,82.16,22466,25.9872,326.7,3844.1,972.1,21.5,4.585,0,100,50,4.5,7,4.5,7625
204,2021_Yu et al.,No,41.25,33.9,82.16,22466,25.3313,326.7,4719.8,972.1,21.5,4.0514,0,100,50,5.5,7,5.5,12034
205,2021_Yu et al.,No,41.25,33.9,82.16,22466,27.5577,819.7,6275.1,972.1,21.5,5.3562,0,100,50,6.5,7,6.5,15048
206,2021_Yu et al.,No,41.25,33.9,82.16,22466,25.6635,91.2,3600,972.1,21.5,4.3642,0,100,50,4.5,7,4.5,7625
207,2021_Yu et al.,No,41.25,33.9,82.16,22466,25.0614,91.2,3600,972.1,21.5,3.58,0,100,50,5.5,7,5.5,12034
208,2021_Yu et al.,No,41.25,33.9,82.16,22466,24.7761,91.2,3600,972.1,21.5,3.3294,0,100,50,6.5,7,6.5,15048
209,2021_Zhu et al.,No,50,40,80,25280,5,973.903,9291.3019,12227.4801,7681.762,14.2058,0,5,30,8.5,9,8.5,5954.71
210,2021_Zhu et al.,No,50,40,80,25280,5,1027.8,8845.4418,13277.5189,7566.1346,15.6598,0,5,30,8.5,15,8.5,5240.66
211,2021_Zhu et al.,No,100,80,80,25280,7,1027.8,15557.0059,11153.8736,8772.5625,16.1235,0,5,30,8.5,15,8.5,6242.05
,2021_Zhu et al.,No,150,120,80,25280,9,1027.8,16392.8792,12396.9121,9158.5071,16.0208,0,5,30,8.5,15,8.5,7571.42
212,2021_Zhu et al.,No,200,160,80,25280,11,1027.8,17459.2486,11473.3245,9268.6802,13.7195,0,5,30,8.5,15,8.5,15484.88
213,2022_Rizzioli et al.,No,56.3,35.3,62.62,55200,4.7704,673.4191,6283.7106,15334.1308,7751.3209,10,0,0.5,37,13.65,6.3654,13.65,4860
214,2022_Rizzioli et al.,No,56.1,55.5,98.99,23460,24.2479,409.2034,20964.6627,16564.3307,8793.5109,10,0,0.5,37,4.39,10.3017,4.39,27210
215,2022_Rizzioli et al.,No,185.6,160,86.03,94810,21.4087,1032.6376,46341.6958,18129.6757,18789.4343,10,0,0.5,37,5.85,5.8216,5.85,36720
216,2022_Wang et al.,No,152.15,150.02,98.6,17401.291,28.6,1046.6657,33883,42120,18350.7585,50,0,0.2,35,3.84,14,3.84,28180
217,2022_Wang et al.,No,152.15,150.02,98.6,17723.6949,28.6,1004.6225,33883,42120,18350.7585,50,0,0.2,35,3.84,14,3.84,29900
218,2022_Wang et al.,No,152.15,150.02,98.6,15362.619,28.6,1115.4119,33883,42120,17912.2316,33.33,0,0.2,35,3.84,14,3.84,32355
219,2022_Wang et al.,No,152.15,150.02,98.6,15867.9644,28.6,1129.3709,33883,42120,17842.1531,33.33,0,0.2,35,3.84,14,3.84,34075
